0012a5f4 string Ignore '.' in $PATH
0012a608 string mail_always
0012a614 string mail_badpass
0012a621 string mail_no_user
0012a62e string mail_no_host
0012a63b string mail_no_perms
0012a649 string mail_all_cmnds
0012a658 string tty_tickets
0012a664 string lecture
0012a66c string lecture_file
0012a679 string root_sudo
0012a683 string Root may run sudo
0012a695 string log_host
0012a69e string log_year
0012a6a7 string shell_noargs
0012a6b4 string always_set_home
0012a6c4 string path_info
0012a6d3 string insults
0012a6db string requiretty
0012a6e6 string env_editor
0012a700 string targetpw
0012a709 string use_loginclass
0012a718 string set_logname
0012a724 string stay_setuid
0012a730 string preserve_groups
0012a740 string loglinelen
0012a74b string timestamp_timeout
0012a75d string passwd_timeout
0012a76c string passwd_tries
0012a77f string logfile
0012a787 string Path to log file: %s
0012a79c string mailerpath
0012a7a7 string Path to mail program: %s
0012a7c0 string mailerflags
0012a7cc string Flags for mail program: %s
0012a7e7 string mailto
0012a7ee string Address to send mail to: %s
0012a80a string mailfrom
0012a813 string Address to send mail from: %s
0012a831 string mailsub
0012a839 string badpass_message
0012a849 string lecture_status_dir
0012a85c string timestampdir
0012a869 string timestampowner
0012a878 string exempt_group
0012a885 string passprompt
0012a890 string Default password prompt: %s
0012a8ac string passprompt_override
0012a8c0 string runas_default
0012a8ce string secure_path
0012a8da string listpw
0012a8e1 string verifypw
0012a8ea string noexec
0012a8f1 string ignore_local_sudoers
0012a906 string closefrom
0012a910 string closefrom_override
0012a923 string setenv
0012a92a string env_reset
0012a934 string env_check
0012a93e string env_delete
0012a957 string restricted_env_file
0012a96b string sudoers_locale
0012a97a string visiblepw
0012a984 string pwfeedback
0012a98f string fast_glob
0012a999 string umask_override
0012a9a8 string log_input
0012a9b2 string log_stdin
0012a9bc string log_ttyin
0012a9c6 string log_output
0012a9d1 string log_stdout
0012a9dc string log_stderr
0012a9e7 string log_ttyout
0012a9f2 string compress_io
0012a9fe string Compress I/O logs using zlib
0012aa1b string use_pty
0012aa23 string iolog_dir
0012aa2d string iolog_file
0012aa38 string set_utmp
0012aa41 string utmp_runas
0012aa4c string limitprivs
0012aa57 string Set of limit privileges: %s
0012aa73 string exec_background
0012aa83 string pam_service
0012aa8f string PAM service name to use: %s
0012aaab string pam_login_service
0012aabd string pam_askpass_service
0012aad1 string pam_setcred
0012aadd string pam_session
0012aae9 string pam_acct_mgmt
0012aaf7 string pam_silent
0012ab09 string use_netgroups
0012ab17 string sudoedit_checkdir
0012ab29 string sudoedit_follow
0012ab39 string always_query_group_plugin
0012ab53 string netgroup_tuple
0012ab62 string ignore_audit_errors
0012ab76 string ignore_iolog_errors
0012ab8a string ignore_logfile_errors
0012aba0 string match_group_by_gid
0012abb3 string syslog_maxlen
0012abc1 string iolog_user
0012abcc string iolog_group
0012abd8 string iolog_mode
0012abea string ignore_unknown_defaults
0012ac02 string command_timeout
0012ac12 string user_command_timeouts
0012ac28 string iolog_flush
0012ac34 string syslog_pid
0012ac3f string timestamp_type
0012ac4e string authfail_message
0012ac5f string case_insensitive_user
0012ac75 string case_insensitive_group
0012ac8c string log_allowed
0012ac98 string log_denied
0012aca3 string log_servers
0012acaf string log_server_timeout
0012acc2 string log_server_keepalive
0012acd7 string log_server_cabundle
0012aceb string log_server_peer_cert
0012ad00 string log_server_peer_key
0012ad14 string log_server_verify
0012ad26 string runas_allow_unknown_id
0012ad3d string runas_check_shell
0012ad4f string pam_ruser
0012ad59 string pam_rhost
0012ad6a string runchroot
0012ad74 string log_format
0012ad7f string selinux
0012ad87 string Enable SELinux RBAC support
0012ada3 string admin_flag
0012adae string intercept
0012adb8 string log_subcmds
0012adc4 string log_exit_status
0012add4 string intercept_authenticate
0012adeb string intercept_allow_setid
0012ae01 string rlimit_as
0012ae0b string rlimit_core
0012ae17 string rlimit_cpu
0012ae22 string rlimit_data
0012ae2e string rlimit_fsize
0012ae3b string rlimit_locks
0012ae48 string rlimit_memlock
0012ae57 string rlimit_nofile
0012ae65 string rlimit_nproc
0012ae72 string rlimit_rss
0012ae7d string rlimit_stack
0012ae8a string noninteractive_auth
0012ae9e string log_passwords
0012aeac string passprompt_regex
0012aebd string intercept_type
0012aecc string intercept_verify
0012aedd string apparmor_profile
0012aeee string cmddenial_message
0012af00 string Command denial message: %s
0012af1f string trace
0012af25 string json_compact
0012af32 string json_pretty
0012af3e string global
0012af4a string kernel
0012af51 string never
0012af57 string digest_only
0012af6d string syntax error
0012af7a string %s:%d:%zu: %s 
0012af89 string %*s^%s 
0012af91 string duplicate %s "%s"
0012afa3 string a digest requires a path name
0012afc1 string "CWD" path too long
0012afd5 string "CHROOT" is deprecated
0012afec string command too long
0012affd string memory exhausted
0012b00e string "CHROOT" path too long
0012b029 string CHROOT
0012b034 string CMND_TIMEOUT
0012b041 string NOTBEFORE
0012b04b string NOTAFTER
0012b05e string LIMITPRIVS
0012b069 string APPARMOR_PROFILE
0012b07a string invalid notbefore value
0012b092 string invalid notafter value
0012b0a9 string timeout value too large
0012b0c1 string invalid timeout value
0012b0dc string \?*[]
0012b0e2 string ALLOW
0012b0ed string user %s matches group %s: %s
0012b10a string netgroups are disabled
0012b123 string IPv4 netmask %s: %s
0012b137 string invalid value
0012b145 string IPv6 netmask %s: %s
0012b159 string /dev/fd/%d
0012b164 string %s/%s
0012b16a string , chroot 
0012b174 string unable to rewind digest fd
0012b18f string %s:%d:%d: %s 
0012b19d string %s: %s 
0012b1a7 string unknown
0012b1af string unable to cache uid %u
0012b1c6 string unable to cache user %s
0012b1de string /bin/sh
0012b1e6 string uid %s %s
0012b1f0 string unable to cache gid %u
0012b207 string unable to cache group %s
0012b220 string gid %s %s
0012b22a string unable to parse groups for %s
0012b248 string %s: setting group-IDs for %s
0012b265 string unable to parse gids for %s
0012b281 string %s: user %s %sin group %s
0012b2a0 string no gid list for use %s
0012b2b7 string alias
0012b2bd string audit
0012b2c3 string event
0012b2ce string logging
0012b2db string match
0012b2e1 string netif
0012b2eb string parser
0012b2f2 string rbtree
0012b303 string <- %s @ %s:%d := %zu
0012b318 string sudoerslex: %s:%d: %s
0012b32e string internal error, %s overflow
0012b34a string too many levels of includes
0012b366 string %s is world writable
0012b380 string ignoring editor backup file
0012b39c string %s/%s: %s
0012b3a6 string empty netgroup
0012b3b5 string empty group
0012b3c4 string DEFVAR 
0012b3d4 string BEGINSTR 
0012b3e7 string ENDSTR 
0012b3ef string empty string
0012b3fc string ERROR 
0012b403 string USERGROUP 
0012b40e string NETGROUP 
0012b418 string WORD(4) 
0012b421 string BACKSLASH 
0012b42c string STRBODY 
0012b435 string QUOTEDCHAR 
0012b441 string ARG REGEX 
0012b453 string DIGEST 
0012b45b string invalid line continuation
0012b475 string INCLUDE 
0012b47e string INCLUDEDIR 
0012b48a string DEFAULTS_USER 
0012b499 string DEFAULTS_RUNAS 
0012b4a9 string DEFAULTS_HOST 
0012b4b8 string DEFAULTS_CMND 
0012b4c7 string DEFAULTS 
0012b4d1 string HOSTALIAS 
0012b4dc string CMNDALIAS 
0012b4e7 string USERALIAS 
0012b4f2 string RUNASALIAS 
0012b4fe string NOPASSWD 
0012b508 string NOEXEC 
0012b510 string NOINTERCEPT 
0012b51d string NOSETENV 
0012b527 string NOLOG_OUTPUT 
0012b535 string NOLOG_INPUT 
0012b542 string NOMAIL 
0012b54a string NOFOLLOW 
0012b554 string NTWKADDR 
0012b55e string invalid IPv6 address
0012b578 string CMND_TIMEOUT 
0012b586 string NOTBEFORE 
0012b591 string NOTAFTER 
0012b5a0 string CHROOT 
0012b5a8 string ROLE 
0012b5ae string TYPE 
0012b5b4 string APPARMOR_PROFILE 
0012b5c6 string LIMITPRIVS 
0012b5d2 string COMMAND 
0012b5db string SHA224_TOK 
0012b5e7 string SHA256_TOK 
0012b5f3 string SHA384_TOK 
0012b5ff string SHA512_TOK 
0012b60b string WORD(5) 
0012b614 string WORD(6) 
0012b61d string WORD(7) 
0012b62c string NOMATCH 
0012b635 string input in flex scanner failed
0012b652 string %s:%d: %.*s
0012b65e string bad buffer in yy_scan_bytes()
0012b67c string /sudoedit
0012b686 string sha224
0012b68d string sha384
