001003ac TerminatedCString /lib64/ld-linux-x86-64.so.2
001df4d0 string %pB:%u: bad extended linear address record length in Intel Hex file
001df518 string %pB:%u: bad extended linear start address length in Intel Hex file
001df560 string %pB:%u: unrecognized ihex type %u in Intel Hex file
001df598 string %pB:%d: unexpected character `%s' in S-record file
001df5d0 string %pB:%d: byte count %d too small
001df5f0 string %pB:%d: bad checksum in S-record file
001df618 string warning: %pB: local symbol `%s' has no section
001df648 string %pB: overflow reloc count too small
001df670 string %pB: warning: claims to have 0xffff relocs, without overflow
001df6b0 string %pB: unrecognized storage class %d for %s symbol `%s'
001df6e8 string %pB: warning: line number table read failed
001df718 string %pB: warning: illegal symbol index 0x%lx in line number entry %d
001df760 string %pB: warning: illegal symbol in line number entry %d
001df798 string %pB: warning: duplicate line number information for `%s'
001df7d8 string %pB: warning: illegal symbol index %ld in relocs
001df810 string %pB: illegal relocation type %d at address %#lx
001df840 string %pB: section %pA: string table overflow at offset %ld
001df878 string %pB:%s section %s: alignment 2**%u not representable
001df8b0 string %pB: reloc against a non-existent symbol index: %ld
001df8e8 string %pB: warning: ignoring section flag %s in section %s
001df920 string %pB: unable to load COMDAT section name
001df948 string %pB: warning: no symbol for section '%s' found
001df978 string %pB: error: unexpected symbol '%s' in COMDAT section
001df9b0 string %pB: warning: COMDAT symbol '%s' does not match section name '%s'
001df9f8 string %pB (%s): section flag %s (%#lx) ignored
001dfa28 string  Table: Char: %d, Time: %08lx, Ver: %d/%d, Num Names: %d, IDs: %d 
001dfa70 string <corrupt string offset: %#lx> 
001dfa90 string %03x %*.s  Leaf: Addr: %#08lx, Size: %#08lx, Codepage: %d 
001dfad0 string .rsrc merge failure: multiple non-default manifests
001dfb08 string .rsrc merge failure: dirs with differing characteristics
001dfb48 string .rsrc merge failure: differing directory versions
001dfb80 string .rsrc merge failure: a directory matches a leaf
001dfbb0 string .rsrc merge failure: duplicate string resource: %d
001dfbe8 string .rsrc merge failure: duplicate leaf
001dfc10 string .rsrc merge failure: duplicate leaf: %s
001dfc38 string %pB: unable to find name for empty section
001dfc68 string %pB: out of memory creating name for empty section
001dfca0 string %pB: unable to create fake empty section
001dfcd0 string %pB:%.8s: section below image base
001dfcf8 string %pB: line number overflow: 0x%lx > 0xffff
001dfd28 string  There is a debug directory, but the section containing it could not be found 
001dfd78 string  There is a debug directory in %s, but that section has no contents 
001dfdc0 string  Error: section %s contains the debug data starting address but it is too small 
001dfe18 string  There is a debug directory in %s at 0x%lx  
001dfe48 string The debug data size field in the data directory is too big for the section
001dfe98 string Type                Size     Rva      Offset 
001dfec8 string  %2ld  %14s %08lx %08lx %08lx 
001dfee8 string (format %c%c%c%c signature %s age %ld pdb %s) 
001dff18 string The debug directory size is not a multiple of the debug directory entry size 
001dff68 string warning, .pdata section size (%ld) is not a multiple of %d 
001dffa8 string  The Function Table (interpreted .pdata section contents) 
001dffe8 string  vma:		Begin    Prolog   Function Flags    Exception EH      		Address  Length   Length   32b exc  Handler   Data 
001e0060 string copy to swap file if on removable media
001e0088 string copy to swap file if on network media
001e00b0 string run only on uniprocessor machine
001e00d8 string 	(This is a reproducible build file hash, not a timestamp) 
001e0118 string  There is an import table, but the section containing it could not be found 
001e0168 string  There is an import table in %s, but that section has no contents 
001e01b0 string  There is an import table in %s at 0x%lx 
001e01e0 string  The Import Tables (interpreted %s section contents) 
001e0218 string  vma:            Hint    Time      Forward  DLL       First                  Table   Stamp     Chain    Name      Thunk 
001e0298 string %08lx %08lx %08lx %08lx %08lx 
001e02b8 string 	vma:     Ordinal  Hint  Member-Name  Bound-To 
001e02e8 string  There is a first thunk, but the section containing it could not be found 
001e0338 string  There is an export table, but the section containing it could not be found 
001e0388 string  There is an export table in %s, but it is too small (%d) 
001e03c8 string  There is an export table in %s, but contents cannot be read 
001e0408 string  There is an export table in %s at 0x%lx 
001e0438 string  The Export Tables (interpreted %s section contents)  
001e0470 string 	Export Address Table 		%08lx 
001e0490 string 	[Name Pointer/Ordinal] Table	%08lx 
001e04b8 string  Export Address Table -- Ordinal Base %ld 
001e04e8 string 	          Ordinal  Address  Type 
001e0510 string 	Invalid Export Address Table rva (0x%lx) or entry count (0x%lx) 
001e0558 string 	[%4ld] +base[%4ld] %08lx %s -- %.*s 
001e0580 string  [Ordinal/Name Pointer] Table -- Ordinal Base %ld 
001e05b8 string 	          Ordinal   Hint Name 
001e05d8 string 	Invalid Name Pointer Table rva (0x%lx) or entry count (0x%lx) 
001e0618 string 	Invalid Ordinal Table rva (0x%lx) or entry count (0x%lx) 
001e0658 string 	[%4ld] +base[%4ld]  %04lx <corrupt offset: %lx> 
001e0690 string 	[%4ld] +base[%4ld]  %04lx %.*s 
001e06b8 string  vma:		Begin    End      EH       EH       PrologEnd  Exception      		Address  Address  Handler  Data     Address    Mask 
001e0738 string Virtual size of .pdata section (%ld) larger than real size (%ld) 
001e0780 string   PE File Base Relocations (interpreted .reloc section contents) 
001e07c8 string  Virtual Address: %08lx Chunk size %ld (0x%lx) Number of fixups %ld 
001e0810 string 	reloc %4d offset %4x [%4lx] %s
001e0830 string  The .rsrc Resource Directory section: 
001e0858 string Corrupt .rsrc section detected! 
001e0880 string  WARNING: Extra data in .rsrc section - it will be ignored by Windows: 
001e08c8 string  String table starts at offset: %#03x 
001e08f0 string  Resources start at offset: %#03x 
001e0918 string %pB: Data Directory (%lx bytes at %lx) extends across section boundary at %lx
001e0968 string failed to update file offsets in debug directory
001e09a0 string %pB: failed to read debug data section
001e09c8 string %pB: unable to fill in DataDirectory[%d]: %s is missing
001e0a00 string %pB: unable to fill in DataDirectory[%d]: %s not defined correctly
001e0a48 string __DELAY_IMPORT_DIRECTORY_start__
001e0a70 string __DELAY_IMPORT_DIRECTORY_end__
001e0a90 string %pB: unable to fill in DataDirectory[%d]: %s not properly aligned
001e0ad8 string %pB: unable to fill in DataDirectory[%d]: size too large for the containing section
001e0b30 string %pB: unable to fill in DataDirectory[%d]: size can't be read from %s
001e0b78 string %pB: .rsrc merge failure: corrupt .rsrc section
001e0ba8 string %pB: .rsrc merge failure: unexpected .rsrc size
001e0bd8 string Export Directory [.edata (or where ever we found it)]
001e0c10 string Import Directory [parts of .idata]
001e0c38 string Base Relocation Directory [.reloc]
001e0c60 string Thread Storage Directory [.tls]
001e0c80 string Import Address Table Directory
001e0ca0 string %pB: stripping non-representable symbol '%s' (value 0x%lx)
001e0ce0 string %pB: %pA: reloc overflow: %#x > 0xffff
001e0d08 string %pB: warning: %pA: line number overflow: %#x > 0xffff
001e0d40 string warning: symbol `%s' is both section and non-section
001e0d78 string warning: type of symbol `%s' changed from %d to %d in %pB
001e0db8 string %pB: relocs in section `%pA', but it has no contents
001e0df0 string %X`%s' referenced in section `%pA' of %pB: defined in discarded section `%pA' of %pB 
001e0e48 string %pB: illegal symbol index %ld in relocs
001e0e70 string %pB: bad reloc address %#lx in section `%pA'
001e0ea0 string %pB: bad string table size %lu
001e0ec0 string %pB: unable to compress section %s
001e0ee8 string %pB: unable to decompress section %s
001e0f10 string (sec %2d)(fl 0x%02x)(ty %4x)(scl %3d) (nx %d) 0x
001e0f48 string AUX scnlen 0x%lx nreloc %d nlnno %d
001e0f70 string  checksum 0x%x assoc %d comdat %d
001e0f98 string AUX tagndx %ld ttlsiz 0x%lx lnnos %ld next %ld
001e0fc8 string AUX lnno %d size 0x%x tagndx %ld
001e0ff0 string removing unused section '%pA' in file '%pB'
001e1020 string DWARF error: can't find %s section.
001e1048 string DWARF error: section %s has no contents
001e1070 string DWARF error: section %s is too big
001e1098 string DWARF error: offset (%lu) greater than or equal to %s size (%lu)
001e10e0 string DWARF error: mangled line number section (bad file number)
001e1120 string DWARF error: info pointer extends beyond end of attributes
001e1160 string /usr/i686-w64-mingw32/lib/debug
001e1180 string DWARF error: invalid or unhandled FORM value: %#x
001e11b8 string DWARF error: zero format count
001e11d8 string DWARF error: data count (%lx) larger than buffer size
001e1210 string DWARF error: unknown format content type %lu
001e1240 string DWARF error: found dwarf version '%u', this reader only handles version 2, 3, 4 and 5 information
001e12a8 string DWARF error: found address size '%u', this reader can not handle sizes greater than '%u'
001e1308 string DWARF error: found address size '%u', this reader can only handle address sizes '2', '4' and '8'
001e1370 string DWARF error: could not find abbrev number %u
001e13a0 string DWARF error: DW_AT_comp_dir attribute encountered with a non-string form
001e13f0 string DWARF error: line info section is too small (%ld)
001e1428 string DWARF error: line info data is bigger (%#lx) than the space remaining in the section (%#lx)
001e1488 string DWARF error: unhandled .debug_line version %d
001e14b8 string DWARF error: ran out of room reading prologue
001e14e8 string DWARF error: line info unsupported segment selector size %u
001e1528 string DWARF error: invalid maximum operations per instruction
001e1560 string DWARF error: ran out of room reading opcodes
001e1590 string DWARF error: mangled line number section
001e15c0 string DWARF error: could not find variable specification at offset 0x%lx
001e1608 string DWARF error: abstract instance recursion detected
001e1640 string DWARF error: invalid abstract instance DIE ref
001e1670 string DWARF error: unable to read alt ref %lu
001e1698 string DWARF error: unable to locate abstract instance DIE ref %lu
001e16d8 string %pB: unrecognised machine type (0x%x) in Import Library Format archive
001e1720 string %pB: recognised but unhandled machine type (0x%x) in Import Library Format archive
001e1778 string %pB: size field is zero in Import Library Format header
001e17b0 string %pB: string not null terminated in ILF object file
001e17e8 string %pB: unrecognized import type; %x
001e1810 string %pB: missing import name for IMPORT_NAME_EXPORTAS for %s
001e1850 string %pB: unrecognized import name type; %x
001e1878 string %pB: adjusting invalid SectionAlignment
001e18a0 string %pB: adjusting invalid FileAlignment
001e18c8 string %pB: invalid NumberOfRvaAndSizes
001e18f0 string %pB: error: debug data ends beyond end of debug directory
001e1930 string %P: discarded output section: `%pA' 
001e1958 string Local IFUNC function `%s' in %pB 
001e1980 string %pB: unsupported relocation type: %#x
001e19a8 string %pB: bad reloc offset (%#x > %#x) for section `%pA'
001e19e0 string %pB: direct GOT relocation R_386_GOT32X against `%s' without base register can not be used when making a shared object
001e1a58 string %pB: `%s' accessed both as normal and thread local symbol
001e1a98 string %pB: unsupported non-PIC call to IFUNC `%s'
001e1ac8 string %pB: non-canonical reference to canonical protected function `%s' in %pB
001e1b18 string %pB: relocation %s against STT_GNU_IFUNC symbol `%s' isn't supported
001e1b60 string %pB: direct GOT relocation %s against `%s' without base register can not be used when making a shared object
001e1bd0 string %pB: relocation R_386_GOTOFF against undefined %s `%s' can not be used when making a shared object
001e1c38 string %pB: relocation R_386_GOTOFF against protected %s `%s' can not be used when making a shared object
001e1ca0 string %pB(%pA+%#lx): unresolvable %s relocation against symbol `%s'
001e1ce0 string %pB(%pA+%#lx): reloc against `%s': error %d
001e1d10 string %pB: unsupported relocation type %#x
001e1d38 string %P: %pB: failed to allocate 64-bit DT_RELR bitmap 
001e1d70 string %P: %pB: failed to allocate 32-bit DT_RELR bitmap 
001e1da8 string %P: %pB: size of compact relative reloc section is changed: new (%lu) != old (%lu) 
001e1e00 string %P: %pB: failed to allocate relative reloc record 
001e1e38 string %P: %pB: relocation %s against absolute symbol `%s' in section `%pA' is disallowed 
001e1e90 string %P: %pB: warning: relocation in read-only section `%pA' 
001e1ed0 string discarded output section: `%pA'
001e1ef0 string %pB: %s (offset: 0x%v, info: 0x%v, addend: 0x%v) against '%s' for section '%pA' in %pB 
001e1f48 string %pB: %s (offset: 0x%v, info: 0x%v) against '%s' for section '%pA' in %pB 
001e1f98 string %P: %pB: failed to allocate memory for section `%pA' 
001e1fd0 string %P: %pB: failed to allocate compact relative reloc section 
001e2010 string %pB: TLS transition from %s to %s against `%s' at 0x%v in section `%pA' failed 
001e2060 string %pB(%pA+0x%v): relocation %s against `%s' must be used in ADD or MOV only 
001e20b0 string %pB(%pA+0x%v): relocation %s against `%s' must be used in ADD or MOVRS only 
001e2100 string %pB(%pA+0x%v): relocation %s against `%s' must be used in ADD, SUB or MOV only 
001e2150 string %pB(%pA+0x%v): relocation %s against `%s' must be used in indirect CALL with %s register only 
001e21b0 string %pB(%pA+0x%v): relocation %s against `%s' must be used in LEA only 
001e21f8 string %pB: relocation %s against thread local symbol `%s' in invalid section `%pA'
001e2248 string %P: %pB: copy relocation against non-copyable protected symbol `%s' in %pB 
001e2298 string error: %pB: <corrupt x86 property (0x%x) size: 0x%x>
001e22d0 string %P: failed to create VxWorks dynamic sections 
001e2300 string %P: failed to create GOT sections 
001e2328 string %P: failed to create ifunc sections 
001e2350 string %P: failed to create GOT PLT section 
001e2378 string %P: failed to create IBT-enabled PLT section 
001e23a8 string %P: failed to create PLT .eh_frame section 
001e23d8 string %P: failed to create GOT PLT .eh_frame section 
001e2408 string %P: failed to create the second PLT .eh_frame section 
001e2440 string %P: failed to create PLT .sframe section 
001e2470 string %P: failed to create second PLT .sframe section 
001e24a8 string %P: failed to create PLT GOT .sframe section 
001e24d8 string %X%P: attempted static link of dynamic object `%pB' 
001e2510 string %P: dynamic STT_GNU_IFUNC symbol `%s' with pointer equality in `%pB' can not be used when making an executable; recompile with -fPIE and relink with -pie 
001e25b0 string warning: %pB has a section extending past end of file
001e25e8 string %pB: %pA+%lx: relocation addend %lx too large
001e2618 string %pB: version count (%ld) does not match symbol count (%ld)
001e2658 string %pB(%pA): relocation %d has invalid symbol index %ld
001e2690 string warning: %pB has a corrupt string table index
001e26c0 string warning: %pB has a program header with invalid alignment
001e2700 string warning: %pB has a segment extending past end of file
001e2738 string %pB: corrupted group section: `%pA'
001e2760 string %pB: GNU_MBIND section `%pA' has invalid sh_info field: %d
001e27a0 string %pB: invalid sh_link field (%d) in section number %d
001e27d8 string %pB: failed to find link section for section %d
001e2808 string %pB: failed to find info section for section %d
001e2838 string %pB: string table [%u] is corrupt
001e2860 string %pB: attempt to load strings from a non-string section (number %d)
001e28a8 string %pB: invalid string offset %u >= %lu for section `%s'
001e28e0 string %pB symbol number %lu references nonexistent SHT_SYMTAB_SHNDX section
001e2928 string %pB symbol number %lu uses unsupported binding of %u
001e2960 string %pB symbol number %lu uses unsupported type of %u
001e2998 string %pB: DT_STRTAB table is corrupt
001e29b8 string %pB: error: alignment power %d of section `%pA' is too big
001e29f8 string warning: section `%pA' type changed to PROGBITS
001e2a28 string %P: failed to size relative relocations 
001e2a58 string %pB: TLS sections are not adjacent:
001e2a80 string %pB: sh_link of section `%pA' points to discarded section `%pA' of `%pB'
001e2ad0 string %pB: sh_link of section `%pA' points to removed section `%pA' of `%pB'
001e2b18 string %pB: Unable to handle section index %x in ELF symbol.  Using ABS instead.
001e2b68 string unable to find equivalent output section for symbol '%s' from section '%s'
001e2bb8 string %pB: The first section in the PT_DYNAMIC segment is not the .dynamic section
001e2c08 string %pB: not enough room for program headers, try linking with -N
001e2c48 string %pB: section %pA lma %#lx adjusted to %#lx
001e2c78 string %pB: error: PHDR segment not covered by LOAD segment
001e2cb0 string %pB: section `%pA' can't be allocated in segment %u
001e2ce8 string %pB: warning: allocated section `%s' not in segment
001e2d20 string %pB: warning: unable to allocate any sections to PT_GNU_RELRO segment
001e2d68 string %pB: error: non-load segment %d includes file header and/or program header
001e2db8 string error: %pB has a TLS segment with execute permission
001e2df0 string warning: %pB has a TLS segment with execute permission
001e2e28 string error: %pB has a LOAD segment with RWX permissions
001e2e60 string warning: %pB has a LOAD segment with RWX permissions
001e2e98 string %pB: symbol `%s' required but not present
001e2ec8 string %pB:%pA: warning: retaining unknown section flag(s) %#lx
001e2f08 string %pB: warning: segment alignment of %#lx is too large
001e2f40 string %pB: warning: empty loadable segment detected at vaddr=%#lx, is this intentional?
001e2f98 string %pB: .gnu.version_r invalid entry
001e2fc0 string %pB: .gnu.version_d invalid entry
001e2fe8 string %pB:%pA: error: attempting to write over the end of the section
001e3028 string %pB:%pA: error: attempting to write section into an empty buffer
001e3070 string %pB: warning: win32pstatus %s of size %lu bytes is too small
001e30b0 string %pB: win32pstatus NOTE_INFO_MODULE of size %lu is too small to contain a name of size %u
001e3110 string GNU_MBIND section is supported only by GNU and FreeBSD targets
001e3150 string symbol type STT_GNU_IFUNC is supported only by GNU and FreeBSD targets
001e3198 string symbol binding STB_GNU_UNIQUE is supported only by GNU and FreeBSD targets
001e31e8 string GNU_RETAIN section is supported only by GNU and FreeBSD targets
001e3228 string %pB(%pA): relocation %zu has invalid symbol index %lu
001e3260 string %pB(%pA): link section cannot be set because the output file does not have a symbol table
001e32c0 string %pB(%pA): info section index is invalid
001e32e8 string %pB(%pA): info section index cannot be set because the section is not in the output
001e3340 string %pB(%pA): error: secondary reloc section processed twice
001e3380 string %pB(%pA): error: secondary reloc section has zero sized entries
001e33c0 string %pB(%pA): error: secondary reloc section has non-standard sized entries
001e3408 string %pB(%pA): error: secondary reloc section is empty!
001e3440 string %pB(%pA): error: internal relocs missing for secondary reloc section
001e3488 string %pB(%pA): error: secondary reloc %zu references a missing symbol
001e34d0 string %pB(%pA): error: secondary reloc %zu references a deleted symbol
001e3518 string %pB(%pA): error: secondary reloc %zu is of an unknown type
001e3558 string %pB: warning: loop in section dependencies detected
001e3590 string %pB: warning: multiple symbol tables detected - ignoring the table in section %u
001e35e8 string %pB: warning: multiple dynamic symbol tables detected - ignoring the table in section %u
001e3648 string %pB: invalid link %u for reloc section %s (index %u)
001e3680 string %pB: warning: secondary relocation section '%s' for section %pA found - ignoring
001e36d8 string %pB: unknown type [%#x] section `%s'
001e3700 string %pB: sh_link [%d] in section `%pA' is incorrect
001e3730 string %pB: could not read contents of group [%u]
001e3760 string %pB: invalid entry (%#x) in group [%u]
001e3788 string %pB: unexpected type (%#x) section `%s' in group [%u]
001e37c0 string %pB: section group entry number %u is corrupt
001e37f0 string     0x%8.8lx 0x%2.2x %2.2d %s 
001e3810 string %pB: bad reloc symbol index (%#lx >= %#lx) for offset %#lx in section `%pA'
001e3860 string %pB: non-zero symbol index (%#lx) for offset %#lx in section `%pA' when the object file has no symbol table
001e38d0 string %pB:%pA: error: relocation references symbol %s which was removed by garbage collection
001e3928 string %pB:%pA: error: try relinking with --gc-keep-exported enabled
001e3968 string %pB: unable to sort relocs - they are in more than one size
001e39a8 string %pB: unable to sort relocs - they are of an unknown size
001e39e8 string not enough memory to sort relocations
001e3a10 string %P: %pB: failed to add %s to first hash 
001e3a40 string %pB: dynamic relocation against `%pT' in read-only section `%pA' 
001e3a88 string %P: %pB: warning: relocation against `%s' in read-only section `%pA' 
001e3ad0 string undefined %s reference in complex symbol: %s
001e3b00 string unknown operator '%c' in complex symbol
